trial,reward,bucket_dtheta,bucket_dx,bucket_theta,bucket_x,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
323,202.368,3,6,5,4,0.9314563304937887,0.9997220602334749,0.8996482344609712,0.47188358260732743,0.9836222371233125,0.017763577282768624,0.4998267216826206,0.9976374230737525,0.07321262462504556
324,213.73600000000002,3,6,5,4,0.9293253847096298,0.9488938866259499,0.8586565431157939,0.45514081768166464,0.9948418659304943,0.007057309670447378,0.48610697399621977,0.9893342124125499,0.06917384921252794
325,296.52,3,6,5,4,0.9264364090653047,0.9913317607800392,0.9213970798203572,0.4407172206432614,0.9908543647168914,0.012906044150316286,0.4646353174268092,0.9952133586862723,0.08458618326899583
326,86.44800000000001,2,6,5,4,0.9322133142820008,0.9195071074769913,0.8564452551156934,0.4633001237207716,0.9927568403400392,0.00881832093507699,0.4805903304307304,0.9212209826880594,0.0740694039889246
327,55.672000000000004,4,6,5,4,0.9242991489588366,0.9425267843321102,0.8601620362298622,0.3502285639877809,0.9855334911827812,0.01080153874749682,0.4676455149974307,0.9979209460357711,0.07815978235132587
328,63.34400000000001,3,6,5,4,0.9547781850992985,0.9506806907235983,0.8541738129433121,0.41113721835474953,0.9873760247184286,0.006234364298106633,0.23811078921578427,0.9925300007797689,0.08340756146052355
329,9.712,3,6,4,4,0.9304743568994676,0.9370806572658363,0.8554947018195005,0.47599461694273837,0.9898511613702339,0.031644937281665175,0.4908963716269493,0.9962515532010893,0.08072670348713086
330,322.904,3,6,5,2,0.9276499161906709,0.9466484106001405,0.8522958320575158,0.4471694459920386,0.9925191244579514,0.014721919862962287,0.4536780587698476,0.9941810928707304,0.07590840006621137
331,16.247999999999998,3,6,6,4,0.9341530995349725,0.9999011693874029,0.857742424407478,0.4581922192799206,0.988681363886179,0.008712232707738778,0.4775809655671847,0.9913613016844254,0.07054061435727961
332,197.856,3,3,5,4,0.9288991686028202,0.9938931470391003,0.8622156601650075,0.46989555670017147,0.995315268287975,0.011643703599493977,0.48382548477906323,0.9982476271055655,0.06683663428327068
333,100.544,7,6,5,4,0.9256580970436382,0.9972739028775985,0.8675341368335976,0.43291220388563895,0.9902991766898179,0.01614456736233535,0.4714860754971625,0.9961908108697577,0.0866887559049626
